market,security,last_add,ticker,touches_defective_cell,bucket,note
China,51JOB ADR,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,58.COM ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,A-LIVING SERVICES CO H,Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,AAC TECHNOLOGIES HLDG CN,Nov13,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,AEROSPACE TIMES A (HK-C),Nov19,600879.SS,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,AGRI BANK OF CN A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,AISINO CO A (HK-C),May18,600271.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,ARTGO HOLDINGS,Nov19,3313.HK,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,AUTEK CHINA A (HK-C),Nov19,300595.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,AVIC AIRCRAFT A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,AVIC AVIATION HI A(HK-C),Feb21,600862.SS,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,AVIC CAPITAL CO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,AVIC ELECMECH A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,AVIC JONHON OPTR A(HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,AVIC SHENYANG A (HK-C),Aug18,600760.SS,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,BAIDU ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BANK OF CHINA A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BANK OF GUIYANG A (HK-C),May18,601997.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,BEIGENE ADR (CN),Nov20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BEIJING CAPITAL A (HK-C),May18,600008.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,BEIJING KUNLUN A (HK-C),May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BEIJING NEW BLDG A(HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BEIJING ORIENT A (HK-C),May18,002271.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,BELLE INT'L HLDGS(CN),May08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BILIBILI ADR Z,May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BLUEFOCUS INTG A (HK-C),Feb26,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BOC INTL A (HK-C),May21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BOSIDENG INTL HLDGS,Aug19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BRILLIANCE CHINA AUTO,Nov23,1114.HK,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,BYD CO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,BYD ELECTRONIC INTL,Nov17,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHANGSHA ZOOMLION H,Feb11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA AGRI HOLDINGS,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA AVIONICS A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA CITIC BK A (HK-C),Aug25,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA CNR CORP H,Nov14,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA COMMU CON A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA CONST BK A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA CSSC HLDG A (HK-C),May21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA ENER ENGR A (HK-C),Feb22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA EVERBRIGHT INT'L,May13,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA GEZHOUBA A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA GOLD INTL RES (CN),Nov25,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA GRAND AUTO A(HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA HAINAN RUB A(HK-C),May18,601118.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,CHINA HUARONG AST MGMT H,Nov16,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA INSURANCE INT' L,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA INTL CPTL A (HK-C),Feb21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA INTL CPTL CORP H,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA INTL TRVL A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA INV FUND INTL (CN),Nov18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA LIFE INS A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA LODGING GRP ADR,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA MERCH BK A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA MINMETALS A (HK-C),Nov21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA NAT BUILDING MAT H,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA NAT'L A (HK-C),Nov22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA NATL CHEM A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA NATL NUCL A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA NATNL MATERIAL   H,Nov10,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA NETCOM GROUP,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA OILFIELD SVCS H,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA POWER INTL,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA RAIL CONST A(HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA RAIL GRP A (HK-C),Aug19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA RAIL HI TE A(HK-C),Nov19,600528.SS,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,CHINA REFORM A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA SHINEWAY PHARM GRP,May10,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA SHIPB IND A (HK-C),Nov18,600482.SS,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,CHINA SHIPBLDG A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA SPACESAT A (HK-C),May18,600118.SS,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,CHINA STH AIRL A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA UNICOM,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA UTD NETWK A (HK-C),Aug21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA VANKE CO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA VANKE CO B,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHINA ZHENGTONG AUTO SER              CHINA,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CHONGQING CHANG A (HK-C),May18,001296.SZ,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,CHOW TAI FOOK (CN),Nov22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CNPC HONG KONG,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,COSCO SHIP HLDG A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,COSCO SHIPPING ENERGY H,May26,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,COSCO SHIPPING HLDGS H,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CSC FINANCIAL A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,CTRIP COM INTL ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,DA AN GENE CO A (HK-C),May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,DAH CHONG HONG (CN)                   CHINA,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,DALI FOODS GROUP CO,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,DALIAN WANDA COMM PROP H,May15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,DAPHNE INTL HOLDINGS(CN)              CHINA,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,DATANG INTL PWR A (HK-C),Nov22,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,DAWNING INFO A (HK-C),Nov21,603019.SS,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,DONGFANG ELE MACH H,Nov07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,DONGFANG ELECTR A (HK-C),Nov18,000682.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,DONGFENG MOTOR GROUP H,Nov25,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,EVER SUNSHINE LIFESTYLE,Feb21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,EVERGRANDE REAL ESTATE,Nov10,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FAR EAST HORIZON                      GREEN,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FOSUN INT'L(CN),May08,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FOUNDER TECH GRP A(HK-C),Feb26,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FOXCONN INDL A (HK-C),Feb19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FRANSHION PROPERTIES,Aug09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FUJIAN ANJOY A (HK-C),Nov20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FUSHAN INT'L ENERGY(CN),Aug09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FUTURE LAND DEVELOPMENT,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,FUYAO GLASS IND GRP H,Nov16,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,GCL POLY ENERGY,May21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,GDS HOLDINGS A ADR,May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,GIGA DEVICE SC A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,GLODON CO A (HK-C),Nov19,002410.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,GONGNIU GROUP A (HK-C),Aug23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,GSX TECHEDU A ADR,May20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,GUOTAI JUNAN SE A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,GUOXUAN HI TECH A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HAIER ELCTRNCS GRP(CN)                HIDIL,Nov11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HAINAN AIRLINES A (HK-C),May23,900945.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,HAITIAN INTL HLDGS,Nov13,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HANERGY SOLAR GROUP,Nov13,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HANG ZHOU GREAT A (HK-C),Aug23,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HANGZHOU HIKVIS A (HK-C),May18,002415.SZ,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,HANGZHOU STEAM TURBINE B,May07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HANS LASER TECH A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HEILAN HOME A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HENGAN INT'L GROUP CO,May07,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HENGTEN NETWORKS (CN),May21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HESTEEL CO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HIDILI INDUSTRY INTL DEV,Aug09,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HONGFA TECH A (HK-C),Nov19,600885.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,HUA HONG SC (CN),Aug18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HUAAN SECURITIES A(HK-C),May18,600909.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,HUADIAN POWER INT'L H,Nov14,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HUANENG RENEWABLES H,May15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HUATAI SEC CO A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HUAXIA BANK A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,HUMANWELL HEALTH A(HK-C),Nov20,600079.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,HUNAN VALIN A (HK-C),Nov19,001208.SZ,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,HUTCHISON CHINA ADR,Nov18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,ICBC A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,INGENIC SC A (HK-C),Nov20,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,INNER MONGOLIA X A(HK-C),Nov25,603230.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,INSPUR ELECTRS A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,INTIME DEPARTMENT STORE,May11,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,JD.COM ADR,Nov15,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,JIANGSU CHANGJI A (HK-C),Nov19,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,JIANGXI GANFENG A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,JIHUA GROUP A (HK-C),May18,601718.SS,False,STILL-TRADING (suspect),EO-13959-pattern: matches MSCI's documented 2021 sanction-deletion waves (TO_VERIFY per name)
China,JINYU BIO TECH A (HK-C),Nov19,600201.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,KANGDE XIN COMP A (HK-C),May18,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
China,KANGMEI PHARMA A (HK-C),May18,600518.SS,False,STILL-TRADING (suspect),unexplained still-trading exit — L4 queue (suspension/scandal/entity-split candidates)
China,KANZHUN A ADR,Nov21,,False,UNPROBEABLE,no live ticker resolvable — consistent with genuine delisting (Yahoo drops dead symbols); NOT positively confirmed
